date,open,high,low,close,volume
2026-08-20 14:25:00+05:30,24235.7,24243.55,24229.65,24237.55,2953478.0
2026-08-20 14:30:00+05:30,24236.95,24246.3,24234.7,24242.95,2635962.0
2026-08-20 14:35:00+05:30,24243.05,24249.55,24240.45,24241.55,3313897.0
2026-08-20 14:40:00+05:30,24240.65,24246.5,24238.1,24245.5,2888779.0
2026-08-20 14:45:00+05:30,24245.4,24246.9,24232.2,24234.2,3099614.0
2026-08-20 14:50:00+05:30,24234.0,24238.5,24231.7,24237.25,3181838.0
2026-08-20 14:55:00+05:30,24236.4,24238.95,24231.15,24235.0,4642048.0
2026-08-20 15:00:00+05:30,24236.75,24240.9,24233.25,24233.35,5767356.0
2026-08-20 15:05:00+05:30,24233.05,24234.5,24220.85,24222.6,6997775.0
2026-08-20 15:10:00+05:30,24222.9,24223.25,24211.55,24214.3,8698154.0
2026-08-20 15:15:00+05:30,24215.15,24223.8,24205.3,24211.6,7530175.0
2026-08-20 15:20:00+05:30,24211.6,24211.6,24211.6,24211.6,9820.0
2026-08-20 15:25:00+05:30,24211.6,24211.6,24211.6,24211.6,9820.0
2026-08-20 15:30:00+05:30,24211.6,24231.85,24211.6,24231.85,7856.0
2026-08-21 09:15:00+05:30,24282.0,24282.0,24249.25,24261.0,3137441.0
2026-08-21 09:20:00+05:30,24261.15,24265.75,24222.1,24222.1,8150210.0
2026-08-21 09:25:00+05:30,24221.4,24225.2,24210.8,24220.55,4972806.0
2026-08-21 09:30:00+05:30,24219.5,24236.2,24216.2,24222.1,4844243.0
2026-08-21 09:35:00+05:30,24222.0,24225.45,24206.8,24213.45,4700616.0
2026-08-21 09:40:00+05:30,24213.65,24227.95,24213.25,24227.25,4118422.0
2026-08-21 09:45:00+05:30,24227.9,24248.45,24226.75,24245.6,5680481.0
2026-08-21 09:50:00+05:30,24245.5,24250.5,24238.6,24243.15,6533275.0
2026-08-21 09:55:00+05:30,24243.05,24256.4,24243.05,24247.5,3504604.0
2026-08-21 10:00:00+05:30,24247.35,24253.65,24240.0,24249.45,2865951.0
2026-08-21 10:05:00+05:30,24248.75,24248.75,24236.5,24239.05,4488867.0
2026-08-21 10:10:00+05:30,24239.15,24241.2,24224.6,24231.95,3949257.0
2026-08-21 10:15:00+05:30,24231.75,24237.5,24229.3,24233.7,3128261.0
2026-08-21 10:20:00+05:30,24234.05,24237.9,24229.35,24232.5,2990810.0
2026-08-21 10:25:00+05:30,24232.4,24247.4,24230.7,24244.9,3213487.0
2026-08-21 10:30:00+05:30,24244.95,24258.85,24244.6,24254.4,2951695.0
2026-08-21 10:35:00+05:30,24254.0,24257.55,24247.35,24249.05,3763145.0
2026-08-21 10:40:00+05:30,24248.9,24252.85,24245.4,24250.9,4119631.0
2026-08-21 10:45:00+05:30,24250.5,24256.65,24249.4,24256.45,3243743.0
2026-08-21 10:50:00+05:30,24256.6,24259.0,24247.95,24255.3,3668809.0
2026-08-21 10:55:00+05:30,24255.25,24267.65,24253.2,24261.15,3205599.0
2026-08-21 11:00:00+05:30,24261.05,24265.3,24251.05,24262.55,3992091.0
2026-08-21 11:05:00+05:30,24262.8,24267.3,24260.15,24265.9,2701327.0
2026-08-21 11:10:00+05:30,24265.7,24267.25,24258.7,24259.5,3313765.0
2026-08-21 11:15:00+05:30,24260.2,24265.85,24257.85,24263.1,2137349.0
2026-08-21 11:20:00+05:30,24262.75,24264.4,24251.35,24251.95,3478271.0
2026-08-21 11:25:00+05:30,24252.15,24257.7,24248.15,24254.95,3040248.0
2026-08-21 11:30:00+05:30,24254.7,24261.75,24252.15,24259.05,3434839.0
2026-08-21 11:35:00+05:30,24259.15,24261.05,24254.25,24257.95,4789731.0
2026-08-21 11:40:00+05:30,24258.1,24260.7,24252.0,24254.35,3952693.0
2026-08-21 11:45:00+05:30,24254.3,24256.9,24248.85,24250.6,2864417.0
2026-08-21 11:50:00+05:30,24250.4,24257.55,24247.75,24256.7,3297896.0
2026-08-21 11:55:00+05:30,24256.75,24259.7,24240.7,24241.6,3374273.0
2026-08-21 12:00:00+05:30,24240.8,24245.0,24237.05,24241.25,3412145.0
2026-08-21 12:05:00+05:30,24241.2,24244.05,24237.4,24240.65,3460190.0
2026-08-21 12:10:00+05:30,24240.7,24240.9,24234.3,24237.4,2255637.0
2026-08-21 12:15:00+05:30,24237.0,24239.6,24232.05,24232.45,2343818.0
2026-08-21 12:20:00+05:30,24232.35,24240.8,24227.5,24238.6,3003676.0
2026-08-21 12:25:00+05:30,24238.05,24243.35,24237.3,24239.55,1949189.0
2026-08-21 12:30:00+05:30,24239.35,24243.3,24234.9,24240.0,1994425.0
2026-08-21 12:35:00+05:30,24240.5,24246.65,24239.5,24244.95,2335250.0
2026-08-21 12:40:00+05:30,24244.25,24246.7,24232.8,24234.85,2390163.0
2026-08-21 12:45:00+05:30,24234.85,24238.0,24227.45,24237.35,2907242.0
2026-08-21 12:50:00+05:30,24237.1,24239.4,24228.55,24232.4,2410637.0
2026-08-21 12:55:00+05:30,24231.9,24235.7,24230.75,24234.9,2339427.0
2026-08-21 13:00:00+05:30,24234.65,24236.45,24229.55,24234.4,2533916.0
2026-08-21 13:05:00+05:30,24234.6,24245.95,24234.4,24244.5,3289106.0
2026-08-21 13:10:00+05:30,24244.4,24253.1,24244.0,24248.3,3013065.0
2026-08-21 13:15:00+05:30,24248.2,24251.0,24241.05,24242.65,2636174.0
2026-08-21 13:20:00+05:30,24242.35,24248.2,24239.9,24244.25,3352545.0
2026-08-21 13:25:00+05:30,24244.2,24245.6,24234.9,24238.75,2350094.0
2026-08-21 13:30:00+05:30,24238.75,24250.35,24236.2,24244.25,2309255.0
2026-08-21 13:35:00+05:30,24244.1,24246.4,24237.65,24238.4,2062052.0
2026-08-21 13:40:00+05:30,24238.3,24239.1,24229.95,24236.5,2996244.0
2026-08-21 13:45:00+05:30,24236.5,24237.9,24229.75,24232.65,1909316.0
2026-08-21 13:50:00+05:30,24232.45,24237.95,24229.65,24231.05,2210036.0
2026-08-21 13:55:00+05:30,24230.85,24237.95,24226.1,24234.7,2478251.0
2026-08-21 14:00:00+05:30,24234.7,24242.9,24232.45,24235.15,2898979.0
2026-08-21 14:05:00+05:30,24234.3,24236.15,24227.15,24230.1,2974271.0
2026-08-21 14:10:00+05:30,24230.2,24231.35,24223.65,24225.6,2162372.0
2026-08-21 14:15:00+05:30,24225.35,24232.8,24224.9,24232.5,2455791.0
2026-08-21 14:20:00+05:30,24231.75,24239.6,24231.75,24235.7,2940779.0
2026-08-21 14:25:00+05:30,24235.2,24243.15,24234.3,24235.9,2578265.0
2026-08-21 14:30:00+05:30,24235.95,24246.25,24234.35,24244.6,2832136.0
2026-08-21 14:35:00+05:30,24244.45,24245.2,24234.15,24236.8,2301211.0
2026-08-21 14:40:00+05:30,24237.2,24239.85,24233.3,24236.25,2190054.0
2026-08-21 14:45:00+05:30,24235.95,24239.35,24232.9,24236.5,3150345.0
2026-08-21 14:50:00+05:30,24236.45,24243.95,24236.4,24240.15,3796655.0
2026-08-21 14:55:00+05:30,24240.75,24244.4,24237.7,24237.8,4349550.0
2026-08-21 15:00:00+05:30,24238.75,24240.95,24233.05,24238.1,4821339.0
2026-08-21 15:05:00+05:30,24239.55,24243.45,24231.55,24233.6,6777646.0
2026-08-21 15:10:00+05:30,24233.8,24240.25,24230.65,24232.4,8087839.0
2026-08-21 15:15:00+05:30,24232.7,24238.95,24223.6,24234.75,8493577.0
2026-08-21 15:20:00+05:30,24234.75,24234.75,24234.75,24234.75,5989020.0
2026-08-21 15:25:00+05:30,24234.75,24234.75,24234.75,24234.75,5989020.0
2026-08-21 15:30:00+05:30,24234.75,24252.0,24234.75,24252.0,4791216.0
